Participant	reactionTime	CuedHalf	Alignment	participant	Probability
1	0.7267419103882276	Top	Aligned	1	25cueTarget
2	1.9535022517189002	Top	Aligned	2	25cueTarget
3	0.7311811097632699	Top	Aligned	3	25cueTarget
4	0.7206648106643115	Top	Aligned	4	25cueTarget
5	0.7388584114859815	Top	Aligned	5	25cueTarget
6	0.3708410617320241	Top	Aligned	6	25cueTarget
7	0.44336134467260135	Top	Aligned	7	25cueTarget
8	1.1868430522746862	Top	Aligned	8	25cueTarget
9	0.572035091793623	Top	Aligned	9	25cueTarget
10	0.8926588473214532	Top	Aligned	10	25cueTarget
11	0.5137862934980627	Top	Aligned	11	25cueTarget
12	0.7355257203380461	Top	Aligned	12	25cueTarget
13	0.8718553268718097	Top	Aligned	13	25cueTarget
14	0.5626976274969719	Top	Aligned	14	25cueTarget
15	1.104906369152429	Top	Aligned	15	25cueTarget
16	0.9856240731496807	Top	Aligned	16	25cueTarget
17	0.5088797503073389	Top	Aligned	17	25cueTarget
18	0.8195057601149207	Top	Aligned	18	25cueTarget
19	0.6303381318918582	Top	Aligned	19	25cueTarget
20	0.4794256513957537	Top	Aligned	20	25cueTarget
1	0.7835906003816299	Top	MisAligned	1	25cueTarget
2	1.9324977134833716	Top	MisAligned	2	25cueTarget
3	0.9071069525183655	Top	MisAligned	3	25cueTarget
4	0.5835779628757791	Top	MisAligned	4	25cueTarget
5	0.6379781672922036	Top	MisAligned	5	25cueTarget
6	0.38781208423039826	Top	MisAligned	6	25cueTarget
7	0.6157028712825208	Top	MisAligned	7	25cueTarget
8	1.1136747869363304	Top	MisAligned	8	25cueTarget
9	1.0360389593733998	Top	MisAligned	9	25cueTarget
10	0.709907408239087	Top	MisAligned	10	25cueTarget
11	0.543610454181261	Top	MisAligned	11	25cueTarget
12	0.8435645047669823	Top	MisAligned	12	25cueTarget
13	0.9966128650108161	Top	MisAligned	13	25cueTarget
14	0.4996369722559848	Top	MisAligned	14	25cueTarget
15	1.2130019343587466	Top	MisAligned	15	25cueTarget
16	0.8678388815074557	Top	MisAligned	16	25cueTarget
17	0.41962929465989873	Top	MisAligned	17	25cueTarget
18	0.7523253155822578	Top	MisAligned	18	25cueTarget
19	0.6579918554743927	Top	MisAligned	19	25cueTarget
20	0.48947289852634035	Top	MisAligned	20	25cueTarget
1	0.8873467155958918	Bottom	Aligned	1	25cueTarget
2	1.754323281426503	Bottom	Aligned	2	25cueTarget
3	0.5766843322398927	Bottom	Aligned	3	25cueTarget
4	0.4106284857718947	Bottom	Aligned	4	25cueTarget
5	0.9933818721171633	Bottom	Aligned	5	25cueTarget
6	0.46756790322636815	Bottom	Aligned	6	25cueTarget
7	0.5568936665462101	Bottom	Aligned	7	25cueTarget
8	0.8129594113189867	Bottom	Aligned	8	25cueTarget
9	0.733578814719129	Bottom	Aligned	9	25cueTarget
10	1.3771862062357438	Bottom	Aligned	10	25cueTarget
11	0.386187455591617	Bottom	Aligned	11	25cueTarget
12	0.49584927893172587	Bottom	Aligned	12	25cueTarget
13	1.1828996957527125	Bottom	Aligned	13	25cueTarget
